Time	Volt	Ampere			
4.324	9.74333	0.147933			
4.32405	9.75917	0.147692			
4.3241	9.74	0.147867			
4.32415	9.745	0.148183			
4.3242	9.745	0.14815			
4.32425	9.75417	0.148017			
4.3243	9.75917	0.14825			
4.32435	9.735	0.148417			
4.3244	9.74583	0.14825			
4.32445	9.74167	0.147983			
4.3245	9.75583	0.147908			
4.32455	9.75333	0.148133			
4.3246	9.7475	0.148225			
4.32465	9.74583	0.148017			
4.3247	9.73167	0.14775			
4.32475	9.75833	0.148			
4.3248	9.755	0.148133			
4.32485	9.75417	0.147967			
4.3249	9.73833	0.147975			
4.32495	9.74	0.148192			
4.325	9.75833	0.148158			
4.32505	9.75	0.148042			
4.3251	9.75667	0.14795			
4.32515	9.74083	0.147958			
4.3252	9.74667	0.148242			
4.32525	9.74833	0.148292			
4.3253	9.755	0.148025			
4.32535	9.76167	0.147875			
4.3254	9.73833	0.148125			
4.32545	9.7475	0.148258			
4.3255	9.74167	0.148175			
4.32555	9.75667	0.148125			
4.3256	9.755	0.148117			
4.32565	9.7475	0.147967			
4.3257	9.75083	0.147908			
4.32575	9.74083	0.147683			
4.3258	9.755	0.14775			
4.32585	9.75083	0.148142			
4.3259	9.75167	0.148017			
4.32595	9.74167	0.147783			
4.326	9.74083	0.147858			
4.32605	9.76	0.148067			
4.3261	9.75083	0.148233			
4.32615	9.76	0.148383			
4.3262	9.7375	0.148283			
4.32625	9.745	0.148317			
4.3263	9.74667	0.148325			
4.32635	9.75417	0.148208			
4.3264	9.7625	0.147925			
4.32645	9.745	0.148058			
4.3265	9.74333	0.148208			
4.32655	9.7425	0.147833			
4.3266	9.755	0.147575			
4.32665	9.755	0.147867			
4.3267	9.7475	0.147967			
4.32675	9.75417	0.148008			
4.3268	9.7425	0.147925			
4.32685	9.755	0.14795			
4.3269	9.755	0.148233			
4.32695	9.75167	0.148458			
4.327	9.74417	0.148267			
4.32705	9.74167	0.148217			
4.3271	9.75917	0.148383			
4.32715	9.75083	0.14825			
4.3272	9.75417	0.147817			
4.32725	9.74167	0.14765			
4.3273	9.74417	0.147833			
4.32735	9.74833	0.147858			
4.3274	9.75167	0.147717			
4.32745	9.76333	0.147533			
4.3275	9.74167	0.147683			
4.32755	9.745	0.148083			
4.3276	9.74	0.148183			
4.32765	9.75667	0.147992			
4.3277	9.75667	0.148217			
4.32775	9.74167	0.148392			
4.3278	9.75083	0.148267			
4.32785	9.7425	0.148125			
4.3279	9.755	0.148225			
4.32795	9.75083	0.148267			
4.328	9.75167	0.148325			
4.32805	9.745	0.148067			
4.3281	9.74083	0.147708			
4.32815	9.76167	0.147833			
4.3282	9.75083	0.147983			
4.32825	9.75583	0.147958			
4.3283	9.7425	0.147875			
4.32835	9.74083	0.14815			
4.3284	9.75	0.148192			
4.32845	9.75167	0.148025			
4.3285	9.76167	0.147983			
4.32855	9.74083	0.148075			
4.3286	9.74583	0.148117			
4.32865	9.74417	0.14825			
4.3287	9.7525	0.147983			
4.32875	9.75667	0.147858			
4.3288	9.73917	0.148125			
4.32885	9.75083	0.148125			
4.3289	9.74	0.147925			
4.32895	9.755	0.14785			
4.329	9.75083	0.148017			
4.32905	9.75	0.148108			
4.3291	9.74333	0.148017			
4.32915	9.735	0.14795			
4.3292	9.76083	0.148008			
4.32925	9.75333	0.148108			
4.3293	9.755	0.148092			
4.32935	9.74	0.147708			
4.3294	9.73917	0.147817			
4.32945	9.74833	0.148217			
4.3295	9.74833	0.148117			
4.32955	9.76	0.147975			
4.3296	9.74167	0.147967			
4.32965	9.745	0.148092			
4.3297	9.745	0.148283			
4.32975	9.7525	0.148242			
4.3298	9.75333	0.148			
4.32985	9.74083	0.148092			
4.3299	9.74917	0.148167			
4.32995	9.74	0.147833			
4.33	9.755	0.147517			
4.33005	9.75083	0.147725			
4.3301	9.75	0.147833			
4.33015	9.74333	0.147683			
4.3302	9.73417	0.147592			
4.33025	9.75833	0.14775			
4.3303	9.75417	0.148075			
4.33035	9.75083	0.148308			
4.3304	9.74	0.148292			
4.33045	9.7425	0.148183			
4.3305	9.75	0.14845			
4.33055	9.74333	0.14845			
4.3306	9.7575	0.148125			
4.33065	9.74167	0.148008			
4.3307	9.74167	0.148225			
4.33075	9.74667	0.14815			
4.3308	9.755	0.147992			
4.33085	9.75833	0.147783			
4.3309	9.73583	0.147833			
4.33095	9.7425	0.148108			
4.331	9.74	0.148208			
4.33105	9.75833	0.14805			
4.3311	9.75	0.148125			
4.33115	9.75	0.148433			
4.3312	9.74333	0.148333			
4.33125	9.73417	0.148117			
4.3313	9.7525	0.148233			
4.33135	9.75667	0.1483			
4.3314	9.7525	0.148183			
4.33145	9.74333	0.147983			
4.3315	9.7425	0.147683			
4.33155	9.75083	0.147767			
4.3316	9.74417	0.147942			
4.33165	9.7525	0.147717			
4.3317	9.74	0.147567			
4.33175	9.74167	0.147783			
4.3318	9.74583	0.147967			
4.33185	9.75583	0.14795			
4.3319	9.755	0.147975			
4.33195	9.735	0.148275			
4.332	9.74667	0.148358			
4.33205	9.7425	0.148308			
4.3321	9.75583	0.148225			
4.33215	9.75667	0.148083			
4.3322	9.74917	0.1483			
4.33225	9.74667	0.148392			
4.3323	9.7375	0.14795			
4.33235	9.75833	0.147817			
4.3324	9.75	0.147917			
4.33245	9.75083	0.147933			
4.3325	9.73917	0.147958			
4.33255	9.74083	0.148017			
4.3326	9.75167	0.148125			
4.33265	9.745	0.148217			
4.3327	9.755	0.14815			
4.33275	9.73917	0.147983			
4.3328	9.745	0.14795			
4.33285	9.74583	0.148183			
4.3329	9.7525	0.148067			
4.33295	9.75917	0.147733			
4.333	9.7325	0.147942			
4.33305	9.74917	0.148233			
4.3331	9.74333	0.148325			
4.33315	9.75667	0.148267			
4.3332	9.75167	0.1481			
4.33325	9.74667	0.148017			
4.3333	9.75	0.148175			
4.33335	9.7325	0.147983			
4.3334	9.75667	0.147742			
4.33345	9.7525	0.148008			
4.3335	9.7525	0.148175			
4.33355	9.74333	0.147925			
4.3336	9.74167	0.147692			
4.33365	9.75833	0.147808			
4.3337	9.745	0.14795			
4.33375	9.75833	0.148008			
4.3338	9.74333	0.147858			
4.33385	9.74333	0.147925			
4.3339	9.74667	0.148125			
4.33395	9.755	0.148383			
4.334	9.76167	0.148158			
4.33405	9.74	0.147958			
4.3341	9.745	0.148233			
4.33415	9.74	0.148108			
4.3342	9.75833	0.1477			
4.33425	9.75167	0.147508			
4.3343	9.745	0.147567			
4.33435	9.75083	0.147767			
4.3344	9.73833	0.147942			
4.33445	9.75583	0.14775			
4.3345	9.75	0.147958			
4.33455	9.75417	0.148275			
4.3346	9.74	0.148392			
4.33465	9.74167	0.148317			
4.3347	9.75833	0.148442			
4.33475	9.75417	0.1486			
4.3348	9.75667	0.148425			
